,4*1 Mux,8*1 Mux,16*1 Mux,32*1 Mux,1*2 DeMux,1*4 DeMux,1*8 DeMux,1*16 DeMux,1*32 DeMux,Latch,Adder,Subtractor,Multiplier,Comparator,2*1 Mux,TSB chain,Inverter Chain,Up-counter,Tri-state buffer,2x1 Mux output acting as select line for another Mux,Extra_FU_Input,Memory,Inverter output acting as input to the TSB,Multiple instances of Nx1 Mux output acting as inputs to 2x1 Mux,Label,,
CardiacPacemaker-TI6,0,12,4,0,10,0,9,2,0,15,2,0,3,1,13,48,0,1,0,1,0,1,1,0,6,,
CP-TI1,0,12,4,0,10,0,9,2,0,15,2,0,3,1,13,0,10,0,0,1,0,1,0,0,1,,
CP-TI1,0,12,4,0,10,0,9,2,0,15,2,0,3,1,13,0,30,0,0,1,0,1,0,0,1,,
CP-TI1,0,12,4,0,10,0,9,2,0,15,2,0,3,1,13,0,40,0,0,1,0,1,0,0,1,,
CP-TI1,0,12,4,0,10,0,9,2,0,15,2,0,3,1,13,0,50,0,0,1,0,1,0,0,1,,
TestCase-TI7,4,2,0,0,4,2,1,0,0,9,1,0,2,1,6,0,0,1,0,0,0,1,0,1,7,,
SharpeningFilter-TI7,4,2,0,0,3,2,1,0,0,9,2,0,1,1,6,0,0,1,0,0,0,1,0,1,7,,
EdgeDetection-T17,2,2,2,0,2,1,1,1,0,6,1,0,1,1,4,0,0,1,0,0,0,1,0,1,7,,
BlurFilter-T17,0,4,2,0,3,0,2,1,0,9,2,0,1,1,6,0,0,1,0,0,0,1,0,1,7,,
TestCase-NoI,4,0,0,0,1,1,0,0,0,9,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,,
SharpeningFilter-NoI,4,0,0,0,1,2,0,0,0,9,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,,
EdgeDetection-NoI,2,2,0,0,0,1,1,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
BlurFilter-NoI,0,4,0,0,1,0,2,0,0,9,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,,
